a	 -a
dūsmàni	- -d-ūs-màn-i
dūsràni	- -d-ūs-ràn-i
dūssàni	- -d-ūs-sàn-i
dūmrà	- -d-ūm-r-à
dūmsà	- -d-ūm-s-à
dūrmà	- -d-ūr-m-à
dūrsà	- -d-ūr-s-à
dūsmà	- -d-ūs-m-à
dūsrà	- -d-ūs-r-à
dūssà	- -d-ūs-s-à
dūmmànà	- -d-ūm-màn-à
dūmrànà	- -d-ūm-ràn-à
dūmsànà	- -d-ūm-sàn-à
dūrmànà	- -d-ūr-màn-à
dūrrànà	- -d-ūr-ràn-à
dūrsànà	- -d-ūr-sàn-à
dūsmànà	- -d-ūs-màn-à
dūsrànà	- -d-ūs-ràn-à
dūssànà	- -d-ūs-sàn-à
idūmà	- -id-ūm-à
idūrà	- -id-ūr-à
idūmmàn	- -id-ūm-màn
idūmràn	- -id-ūm-ràn
idūmsàn	- -id-ūm-sàn
idūrmàn	- -id-ūr-màn
idūrràn	- -id-ūr-ràn
idūrsàn	- -id-ūr-sàn
idūsmàn	- -id-ūs-màn
idūsràn	- -id-ūs-ràn
idūssàn	- -id-ūs-sàn
idūmmàni	- -id-ūm-màn-i
idūmràni	- -id-ūm-ràn-i
idūmsàni	- -id-ūm-sàn-i
idūrmàni	- -id-ūr-màn-i
idūrràni	- -id-ūr-ràn-i
idūrsàni	- -id-ūr-sàn-i
idūsmàni	- -id-ūs-màn-i
idūsràni	- -id-ūs-ràn-i
idūssàni	- -id-ūs-sàn-i
idūmrà	- -id-ūm-r-à
idūmsà	- -id-ūm-s-à
idūrmà	- -id-ūr-m-à
idūrsà	- -id-ūr-s-à
idūsmà	- -id-ūs-m-à
idūsrà	- -id-ūs-r-à
idūssà	- -id-ūs-s-à
idūmmànà	- -id-ūm-màn-à
idūmrànà	- -id-ūm-ràn-à
idūmsànà	- -id-ūm-sàn-à
idūrmànà	- -id-ūr-màn-à
idūrrànà	- -id-ūr-ràn-à
idūrsànà	- -id-ūr-sàn-à
idūsmànà	- -id-ūs-màn-à
idūsrànà	- -id-ūs-ràn-à
idūssànà	- -id-ūs-sàn-à
irdūmà	- -ird-ūm-à
irdūrà	- -ird-ūr-à
irdūmmàn	- -ird-ūm-màn
irdūmràn	- -ird-ūm-ràn
irdūmsàn	- -ird-ūm-sàn
irdūrmàn	- -ird-ūr-màn
irdūrràn	- -ird-ūr-ràn
irdūrsàn	- -ird-ūr-sàn
irdūsmàn	- -ird-ūs-màn
irdūsràn	- -ird-ūs-ràn
irdūssàn	- -ird-ūs-sàn
irdūmmàni	- -ird-ūm-màn-i
irdūmràni	- -ird-ūm-ràn-i
irdūmsàni	- -ird-ūm-sàn-i
irdūrmàni	- -ird-ūr-màn-i
irdūrràni	- -ird-ūr-ràn-i
irdūrsàni	- -ird-ūr-sàn-i
irdūsmàni	- -ird-ūs-màn-i
irdūsràni	- -ird-ūs-ràn-i
irdūssàni	- -ird-ūs-sàn-i
irdūmrà	- -ird-ūm-r-à
irdūmsà	- -ird-ūm-s-à
irdūrmà	- -ird-ūr-m-à
irdūrsà	- -ird-ūr-s-à
irdūsmà	- -ird-ūs-m-à
irdūsrà	- -ird-ūs-r-à
irdūssà	- -ird-ūs-s-à
irdūmmànà	- -ird-ūm-màn-à
irdūmrànà	- -ird-ūm-ràn-à
irdūmsànà	- -ird-ūm-sàn-à
irdūrmànà	- -ird-ūr-màn-à
irdūrrànà	- -ird-ūr-ràn-à
irdūrsànà	- -ird-ūr-sàn-à
irdūsmànà	- -ird-ūs-màn-à
irdūsrànà	- -ird-ūs-ràn-à
irdūssànà	- -ird-ūs-sàn-à
indūmà	- -ind-ūm-à
indūrà	- -ind-ūr-à
indūmmàn	- -ind-ūm-màn
indūmràn	- -ind-ūm-ràn
indūmsàn	- -ind-ūm-sàn
indūrmàn	- -ind-ūr-màn
indūrràn	- -ind-ūr-ràn
indūrsàn	- -ind-ūr-sàn
indūsmàn	- -ind-ūs-màn
indūsràn	- -ind-ūs-ràn
indūssàn	- -ind-ūs-sàn
indūmmàni	- -ind-ūm-màn-i
indūmràni	- -ind-ūm-ràn-i
indūmsàni	- -ind-ūm-sàn-i
indūrmàni	- -ind-ūr-màn-i
indūrràni	- -ind-ūr-ràn-i
indūrsàni	- -ind-ūr-sàn-i
indūsmàni	- -ind-ūs-màn-i
indūsràni	- -ind-ūs-ràn-i
indūssàni	- -ind-ūs-sàn-i
indūmrà	- -ind-ūm-r-à
indūmsà	- -ind-ūm-s-à
indūrmà	- -ind-ūr-m-à
indūrsà	- -ind-ūr-s-à
indūsmà	- -ind-ūs-m-à
indūsrà	- -ind-ūs-r-à
indūssà	- -ind-ūs-s-à
indūmmànà	- -ind-ūm-màn-à
indūmrànà	- -ind-ūm-ràn-à
indūmsànà	- -ind-ūm-sàn-à
indūrmànà	- -ind-ūr-màn-à
indūrrànà	- -ind-ūr-ràn-à
indūrsànà	- -ind-ūr-sàn-à
indūsmànà	- -ind-ūs-màn-à
indūsrànà	- -ind-ūs-ràn-à
indūssànà	- -ind-ūs-sàn-à
kedūmmàn	- -k-ed-ūm-màn
kedūmràn	- -k-ed-ūm-ràn
kedūmsàn	- -k-ed-ūm-sàn
kedūrmàn	- -k-ed-ūr-màn
kedūrràn	- -k-ed-ūr-ràn
kedūrsàn	- -k-ed-ūr-sàn
kedūsmàn	- -k-ed-ūs-màn
kedūsràn	- -k-ed-ūs-ràn
kedūssàn	- -k-ed-ūs-sàn
kedūmmàni	- -k-ed-ūm-màn-i
kedūmràni	- -k-ed-ūm-ràn-i
kedūmsàni	- -k-ed-ūm-sàn-i
kedūrmàni	- -k-ed-ūr-màn-i
kedūrràni	- -k-ed-ūr-ràn-i
kedūrsàni	- -k-ed-ūr-sàn-i
kedūsmàni	- -k-ed-ūs-màn-i
kedūsràni	- -k-ed-ūs-ràn-i
kedūssàni	- -k-ed-ūs-sàn-i
kedūmrà	- -k-ed-ūm-r-à
kedūmsà	- -k-ed-ūm-s-à
kedūrmà	- -k-ed-ūr-m-à
kedūrsà	- -k-ed-ūr-s-à
kedūsmà	- -k-ed-ūs-m-à
kedūsrà	- -k-ed-ūs-r-à
kedūssà	- -k-ed-ūs-s-à
kedūmmànà	- -k-ed-ūm-màn-à
kedūmrànà	- -k-ed-ūm-ràn-à
kedūmsànà	- -k-ed-ūm-sàn-à
kedūrmànà	- -k-ed-ūr-màn-à
kedūrrànà	- -k-ed-ūr-ràn-à
kedūrsànà	- -k-ed-ūr-sàn-à
kedūsmànà	- -k-ed-ūs-màn-à
kedūsrànà	- -k-ed-ūs-ràn-à
kedūssànà	- -k-ed-ūs-sàn-à
nàwidūm	- -nàw-id-ūm
nàwidūr	- -nàw-id-ūr
nàwidūmir	- -nàw-id-ūm-ir
nàwidūmis	- -nàw-id-ūm-is
nàwidūrim	- -nàw-id-ūr-im
nàwidūris	- -nàw-id-ūr-is
nàwidūsim	- -nàw-id-ūs-im
nàwidūsir	- -nàw-id-ūs-ir
nàwidūsis	- -nàw-id-ūs-is
nàwidūmmàn	- -nàw-id-ūm-màn
nàwidūmràn	- -nàw-id-ūm-ràn
nàwidūmsàn	- -nàw-id-ūm-sàn
nàwidūrmàn	- -nàw-id-ūr-màn
nàwidūrràn	- -nàw-id-ūr-ràn
nàwidūrsàn	- -nàw-id-ūr-sàn
nàwidūsmàn	- -nàw-id-ūs-màn
nàwidūsràn	- -nàw-id-ūs-ràn
nàwidūssàn	- -nàw-id-ūs-sàn
nàwidūmri	- -nàw-id-ūm-r-i
nàwidūmsi	- -nàw-id-ūm-s-i
nàwidūrmi	- -nàw-id-ūr-m-i
nàwidūrsi	- -nàw-id-ūr-s-i
nàwidūsmi	- -nàw-id-ūs-m-i
nàwidūsri	- -nàw-id-ūs-r-i
nàwidūssi	- -nàw-id-ūs-s-i
nàwidūmmàni	- -nàw-id-ūm-màn-i
nàwidūmràni	- -nàw-id-ūm-ràn-i
nàwidūmsàni	- -nàw-id-ūm-sàn-i
nàwidūrmàni	- -nàw-id-ūr-màn-i
nàwidūrràni	- -nàw-id-ūr-ràn-i
nàwidūrsàni	- -nàw-id-ūr-sàn-i
nàwidūsmàni	- -nàw-id-ūs-màn-i
nàwidūsràni	- -nàw-id-ūs-ràn-i
nàwidūssàni	- -nàw-id-ūs-sàn-i
nàwidūmrà	- -nàw-id-ūm-r-à
nàwidūmsà	- -nàw-id-ūm-s-à
nàwidūrmà	- -nàw-id-ūr-m-à
nàwidūrsà	- -nàw-id-ūr-s-à
nàwidūsmà	- -nàw-id-ūs-m-à
nàwidūsrà	- -nàw-id-ūs-r-à
nàwidūssà	- -nàw-id-ūs-s-à
nàwidūmmànà	- -nàw-id-ūm-màn-à
nàwidūmrànà	- -nàw-id-ūm-ràn-à
nàwidūmsànà	- -nàw-id-ūm-sàn-à
nàwidūrmànà	- -nàw-id-ūr-màn-à
nàwidūrrànà	- -nàw-id-ūr-ràn-à
nàwidūrsànà	- -nàw-id-ūr-sàn-à
nàwidūsmànà	- -nàw-id-ūs-màn-à
nàwidūsrànà	- -nàw-id-ūs-ràn-à
nàwidūssànà	- -nàw-id-ūs-sàn-à
rūmà	- -r-ūm-à
rūrà	- -r-ūr-à
rūmmàn	- -r-ūm-màn
rūmràn	- -r-ūm-ràn
rūmsàn	- -r-ūm-sàn
rūrmàn	- -r-ūr-màn
rūrràn	- -r-ūr-ràn
rūrsàn	- -r-ūr-sàn
rūsmàn	- -r-ūs-màn
rūsràn	- -r-ūs-ràn
rūssàn	- -r-ūs-sàn
rūmmàni	- -r-ūm-màn-i
rūmràni	- -r-ūm-ràn-i
rūmsàni	- -r-ūm-sàn-i
rūrmàni	- -r-ūr-màn-i
rūrràni	- -r-ūr-ràn-i
rūrsàni	- -r-ūr-sàn-i
rūsmàni	- -r-ūs-màn-i
rūsràni	- -r-ūs-ràn-i
rūssàni	- -r-ūs-sàn-i
rūmrà	- -r-ūm-r-à
rūmsà	- -r-ūm-s-à
rūrmà	- -r-ūr-m-à
rūrsà	- -r-ūr-s-à
rūsmà	- -r-ūs-m-à
rūsrà	- -r-ūs-r-à
rūssà	- -r-ūs-s-à
rūmmànà	- -r-ūm-màn-à
rūmrànà	- -r-ūm-ràn-à
rūmsànà	- -r-ūm-sàn-à
rūrmànà	- -r-ūr-màn-à
rūrrànà	- -r-ūr-ràn-à
rūrsànà	- -r-ūr-sàn-à
rūsmànà	- -r-ūs-màn-à
rūsrànà	- -r-ūs-ràn-à
rūssànà	- -r-ūs-sàn-à
irūmà	- -ir-ūm-à
irūrà	- -ir-ūr-à
irūmmàn	- -ir-ūm-màn
irūmràn	- -ir-ūm-ràn
irūmsàn	- -ir-ūm-sàn
irūrmàn	- -ir-ūr-màn
irūrràn	- -ir-ūr-ràn
irūrsàn	- -ir-ūr-sàn
irūsmàn	- -ir-ūs-màn
irūsràn	- -ir-ūs-ràn
irūssàn	- -ir-ūs-sàn
irūmmàni	- -ir-ūm-màn-i
irūmràni	- -ir-ūm-ràn-i
irūmsàni	- -ir-ūm-sàn-i
irūrmàni	- -ir-ūr-màn-i
irūrràni	- -ir-ūr-ràn-i
irūrsàni	- -ir-ūr-sàn-i
irūsmàni	- -ir-ūs-màn-i
irūsràni	- -ir-ūs-ràn-i
irūssàni	- -ir-ūs-sàn-i
irūmrà	- -ir-ūm-r-à
irūmsà	- -ir-ūm-s-à
irūrmà	- -ir-ūr-m-à
irūrsà	- -ir-ūr-s-à
irūsmà	- -ir-ūs-m-à
irūsrà	- -ir-ūs-r-à
irūssà	- -ir-ūs-s-à
irūmmànà	- -ir-ūm-màn-à
irūmrànà	- -ir-ūm-ràn-à
irūmsànà	- -ir-ūm-sàn-à
irūrmànà	- -ir-ūr-màn-à
irūrrànà	- -ir-ūr-ràn-à
irūrsànà	- -ir-ūr-sàn-à
irūsmànà	- -ir-ūs-màn-à
irūsrànà	- -ir-ūs-ràn-à
irūssànà	- -ir-ūs-sàn-à
īrūmà	- -ī-r-ūm-à
īrūrà	- -ī-r-ūr-à
tūmà	t-ūm-à
tūrà	t-ūr-à
tūmmàn	t-ūm-màn
tūmràn	t-ūm-ràn
tūmsàn	t-ūm-sàn
tūrmàn	t-ūr-màn
tūrràn	t-ūr-ràn
tūrsàn	t-ūr-sàn
tūsmàn	t-ūs-màn
tūsràn	t-ūs-ràn
tūssàn	t-ūs-sàn
tūmmàni	t-ūm-màn-i
tūmràni	t-ūm-ràn-i
tūmsàni	t-ūm-sàn-i
tūrmàni	t-ūr-màn-i
tūrràni	t-ūr-ràn-i
tūrsàni	t-ūr-sàn-i
tūsmàni	t-ūs-màn-i
tūsràni	t-ūs-ràn-i
tūssàni	t-ūs-sàn-i
tūmrà	t-ūm-r-à
tūmsà	t-ūm-s-à
tūrmà	t-ūr-m-à
tūrsà	t-ūr-s-à
tūsmà	t-ūs-m-à
tūsrà	t-ūs-r-à
tūssà	t-ūs-s-à
tūmmànà	t-ūm-màn-à
tūmrànà	t-ūm-ràn-à
tūmsànà	t-ūm-sàn-à
tūrmànà	t-ūr-màn-à
tūrrànà	t-ūr-ràn-à
tūrsànà	t-ūr-sàn-à
tūsmànà	t-ūs-màn-à
tūsrànà	t-ūs-ràn-à
tūssànà	t-ūs-sàn-à
ērūmà	ē-r-ūm-à
ērūrà	ē-r-ūr-à
ērūmmàn	ē-r-ūm-màn
ērūmràn	ē-r-ūm-ràn
ērūmsàn	ē-r-ūm-sàn
ērūrmàn	ē-r-ūr-màn
ērūrràn	ē-r-ūr-ràn
ērūrsàn	ē-r-ūr-sàn
ērūsmàn	ē-r-ūs-màn
ērūsràn	ē-r-ūs-ràn
ērūssàn	ē-r-ūs-sàn
ērūmmàni	ē-r-ūm-màn-i
ērūmràni	ē-r-ūm-ràn-i
ērūmsàni	ē-r-ūm-sàn-i
ērūrmàni	ē-r-ūr-màn-i
ērūrràni	ē-r-ūr-ràn-i
ērūrsàni	ē-r-ūr-sàn-i
ērūsmàni	ē-r-ūs-màn-i
ērūsràni	ē-r-ūs-ràn-i
ērūssàni	ē-r-ūs-sàn-i
ērūmrà	ē-r-ūm-r-à
ērūmsà	ē-r-ūm-s-à
ērūrmà	ē-r-ūr-m-à
ērūrsà	ē-r-ūr-s-à
ērūsmà	ē-r-ūs-m-à
ērūsrà	ē-r-ūs-r-à
ērūssà	ē-r-ūs-s-à
ērūmmànà	ē-r-ūm-màn-à
ērūmrànà	ē-r-ūm-ràn-à
ērūmsànà	ē-r-ūm-sàn-à
ērūrmànà	ē-r-ūr-màn-à
ērūrrànà	ē-r-ūr-ràn-à
ērūrsànà	ē-r-ūr-sàn-à
ērūsmànà	ē-r-ūs-màn-à
ērūsrànà	ē-r-ūs-ràn-à
ērūssànà	ē-r-ūs-sàn-à
gàrūm	gà-r-ūm
gàrūr	gà-r-ūr
gàrūmi	gà-r-ūm-i
gàrūri	gà-r-ūr-i
gàrūmà	gà-r-ūm-à
gàrūrà	gà-r-ūr-à
gàrūmir	gà-r-ūm-ir
gàrūmis	gà-r-ūm-is
gàrūrim	gà-r-ūr-im
gàrūris	gà-r-ūr-is
gàrūsim	gà-r-ūs-im
gàrūsir	gà-r-ūs-ir
gàrūsis	gà-r-ūs-is
gàrūmmàn	gà-r-ūm-màn
gàrūmràn	gà-r-ūm-ràn
gàrūmsàn	gà-r-ūm-sàn
gàrūrmàn	gà-r-ūr-màn
gàrūrràn	gà-r-ūr-ràn
gàrūrsàn	gà-r-ūr-sàn
gàrūsmàn	gà-r-ūs-màn
gàrūsràn	gà-r-ūs-ràn
gàrūssàn	gà-r-ūs-sàn
gàrūmri	gà-r-ūm-r-i
gàrūmsi	gà-r-ūm-s-i
gàrūrmi	gà-r-ūr-m-i
gàrūrsi	gà-r-ūr-s-i
gàrūsmi	gà-r-ūs-m-i
gàrūsri	gà-r-ūs-r-i
gàrūssi	gà-r-ūs-s-i
gàrūmmàni	gà-r-ūm-màn-i
gàrūmràni	gà-r-ūm-ràn-i
gàrūmsàni	gà-r-ūm-sàn-i
gàrūrmàni	gà-r-ūr-màn-i
gàrūrràni	gà-r-ūr-ràn-i
gàrūrsàni	gà-r-ūr-sàn-i
gàrūsmàni	gà-r-ūs-màn-i
gàrūsràni	gà-r-ūs-ràn-i
gàrūssàni	gà-r-ūs-sàn-i
gàrūmrà	gà-r-ūm-r-à
gàrūmsà	gà-r-ūm-s-à
gàrūrmà	gà-r-ūr-m-à
gàrūrsà	gà-r-ūr-s-à
gàrūsmà	gà-r-ūs-m-à
gàrūsrà	gà-r-ūs-r-à
gàrūssà	gà-r-ūs-s-à
gàrūmmànà	gà-r-ūm-màn-à
gàrūmrànà	gà-r-ūm-ràn-à
gàrūmsànà	gà-r-ūm-sàn-à
gàrūrmànà	gà-r-ūr-màn-à
gàrūrrànà	gà-r-ūr-ràn-à
gàrūrsànà	gà-r-ūr-sàn-à
gàrūsmànà	gà-r-ūs-màn-à
gàrūsrànà	gà-r-ūs-ràn-à
gàrūssànà	gà-r-ūs-sàn-à
hrūmà	- -h-r-ūm-à
hrūrà	- -h-r-ūr-à
xàllīhūm	xàllī-hūm
ḍàllū	ḍàll-ū
ḍàllhūm	ḍàll-hūm
àbūske	àb-ūs-ke
àbūskà	àb-ūs-kà
kūnnà	kūnnà
xàllīkūm	xàllī-kūm

C:\Users\kitam\OneDrive\デスクトップ\発表資料\legacy materials\dictionaries\morpheme_boundary_dic.txt
urta	 -ur-ta
urki	 -ur-ki
urma	 -ur-ma
urka	 -ur-ka
urke	 -ur-ke
urkara	 -ur-kara
ursan	 -ur-san
ur	 -ur
amur	- -am-ur
arur	- -ar-ur
anur	- -an-ur
asur	- -as-ur
adur	- -ad-ur
amura	- -am-ur-a
nawamur	- -naw-am-ur
nawarur	- -naw-ar-ur
nawanur	- -naw-an-ur
nawasur	- -naw-as-ur
nawadur	- -naw-ad-ur
nawamura	- -naw-am-ur-a
kamur	- -k-am-ur
karur	- -k-ar-ur
kanur	- -k-an-ur
kasur	- -k-as-ur
kadur	- -k-ad-ur
kamura	- -k-am-ur-a
omur	- -om-ur
orur	- -or-ur
onur	- -on-ur
osur	- -os-ur
odur	- -od-ur
omura	- -om-ur-a
demur	de-m-ur
derur	de-r-ur
denur	de-n-ur
desur	de-s-ur
dedur	de-d-ur
demura	de-m-ur-a
domur	- -d-om-ur
dosur	- -d-os-ur
dēnur	- -d-ēn-ur
dēsur	- -d-ēs-ur
dēdur	- -d-ēd-ur
idomur	- -id-om-ur
idosur	- -id-os-ur
idēnur	- -id-ēn-ur
idēsur	- -id-ēs-ur
idēdur	- -id-ēd-ur
urdom	- -urd-om
urdor	- -urd-or
urda	- -urd-a
urdi	- -urd-i
urdēn	- -urd-ēn
urdēs	- -urd-ēs
urde	- -urd-e
urdomi	- -urd-om-i
urdori	- -urd-or-i
urdēk	- -urd-ēk
urdik	- -urd-ik
urdēni	- -urd-ēn-i
urdēsi	- -urd-ēs-i
urdēdi	- -urd-ēd-i
urdoma	- -urd-om-a
urdora	- -urd-or-a
urdēya	- -urd-ēy-a
urdīya	- -urd-īy-a
urdēna	- -urd-ēn-a
urdēsa	- -urd-ēs-a
urdēda	- -urd-ēd-a
urdomur	- -urd-om-ur
urdomis	- -urd-om-is
urdorim	- -urd-or-im
urdoris	- -urd-or-is
urdosim	- -urd-os-im
urdosur	- -urd-os-ur
urdosis	- -urd-os-is
urdēnim	- -urd-ēn-im
urdēnur	- -urd-ēn-ur
urdēnis	- -urd-ēn-is
urdēsim	- -urd-ēs-im
urdēsur	- -urd-ēs-ur
urdēsis	- -urd-ēs-is
urdēdim	- -urd-ēd-im
urdēdur	- -urd-ēd-ur
urdēdis	- -urd-ēd-is
urdomman	- -urd-om-man
urdomran	- -urd-om-ran
urdomsan	- -urd-om-san
urdorman	- -urd-or-man
urdorran	- -urd-or-ran
urdorsan	- -urd-or-san
urdosman	- -urd-os-man
urdosran	- -urd-os-ran
urdossan	- -urd-os-san
urdēnman	- -urd-ēn-man
urdēnran	- -urd-ēn-ran
urdēnsan	- -urd-ēn-san
urdēsman	- -urd-ēs-man
urdēsran	- -urd-ēs-ran
urdēssan	- -urd-ēs-san
urdedman	- -urd-ed-man
urdedran	- -urd-ed-ran
urdedsan	- -urd-ed-san
urdomri	- -urd-om-r-i
urdomsi	- -urd-om-s-i
urdormi	- -urd-or-m-i
urdorsi	- -urd-or-s-i
urdosmi	- -urd-os-m-i
urdosri	- -urd-os-r-i
urdossi	- -urd-os-s-i
urdēnmi	- -urd-ēn-m-i
urdēnri	- -urd-ēn-r-i
urdēnsi	- -urd-ēn-s-i
urdēsmi	- -urd-ēs-m-i
urdēsri	- -urd-ēs-r-i
urdēssi	- -urd-ēs-s-i
urdedmi	- -urd-ed-m-i
urdedri	- -urd-ed-r-i
urdedsi	- -urd-ed-s-i
urdommani	- -urd-om-man-i
urdomrani	- -urd-om-ran-i
urdomsani	- -urd-om-san-i
urdormani	- -urd-or-man-i
urdorrani	- -urd-or-ran-i
urdorsani	- -urd-or-san-i
urdosmani	- -urd-os-man-i
urdosrani	- -urd-os-ran-i
urdossani	- -urd-os-san-i
urdēnmani	- -urd-ēn-man-i
urdēnrani	- -urd-ēn-ran-i
urdēnsani	- -urd-ēn-san-i
urdēsmani	- -urd-ēs-man-i
urdēsrani	- -urd-ēs-ran-i
urdēssani	- -urd-ēs-san-i
urdedmani	- -urd-ed-man-i
urdedrani	- -urd-ed-ran-i
urdedsani	- -urd-ed-san-i
urdomra	- -urd-om-r-a
urdomsa	- -urd-om-s-a
urdorma	- -urd-or-m-a
urdorsa	- -urd-or-s-a
urdosma	- -urd-os-m-a
urdosra	- -urd-os-r-a
urdossa	- -urd-os-s-a
urdēnma	- -urd-ēn-m-a
urdēnra	- -urd-ēn-r-a
urdēnsa	- -urd-ēn-s-a
urdēsma	- -urd-ēs-m-a
urdēsra	- -urd-ēs-r-a
urdēssa	- -urd-ēs-s-a
urdedma	- -urd-ed-m-a
urdedra	- -urd-ed-r-a
urdedsa	- -urd-ed-s-a
urdommana	- -urd-om-man-a
urdomrana	- -urd-om-ran-a
urdomsana	- -urd-om-san-a
urdormana	- -urd-or-man-a
urdorrana	- -urd-or-ran-a
urdorsana	- -urd-or-san-a
urdosmana	- -urd-os-man-a
urdosrana	- -urd-os-ran-a
urdossana	- -urd-os-san-a
urdēnmana	- -urd-ēn-man-a
urdēnrana	- -urd-ēn-ran-a
urdēnsana	- -urd-ēn-san-a
urdēsmana	- -urd-ēs-man-a
urdēsrana	- -urd-ēs-ran-a
urdēssana	- -urd-ēs-san-a
urdedmana	- -urd-ed-man-a
urdedrana	- -urd-ed-ran-a
urdedsana	- -urd-ed-san-a
indomur	- -ind-om-ur
indosur	- -ind-os-ur
indēnur	- -ind-ēn-ur
indēsur	- -ind-ēs-ur
indēdur	- -ind-ēd-ur
kedomur	- -k-ed-om-ur
kedosur	- -k-ed-os-ur
kedēnur	- -k-ed-ēn-ur
kedēsur	- -k-ed-ēs-ur
kedēdur	- -k-ed-ēd-ur
nawidomur	- -naw-id-om-ur
nawidosur	- -naw-id-os-ur
nawidēnur	- -naw-id-ēn-ur
nawidēsur	- -naw-id-ēs-ur
nawidēdur	- -naw-id-ēd-ur
romur	- -r-om-ur
rosur	- -r-os-ur
rēnur	- -r-ēn-ur
rēsur	- -r-ēs-ur
rēdur	- -r-ēd-ur
urom	- -ur-om
uror	- -ur-or
ura	- -ur-a
uri	- -ur-i
urēn	- -ur-ēn
urēs	- -ur-ēs
ure	- -ur-e
uromi	- -ur-om-i
urori	- -ur-or-i
urēk	- -ur-ēk
urik	- -ur-ik
urēni	- -ur-ēn-i
urēsi	- -ur-ēs-i
urēdi	- -ur-ēd-i
uroma	- -ur-om-a
urora	- -ur-or-a
urēya	- -ur-ēy-a
urīya	- -ur-īy-a
urēna	- -ur-ēn-a
urēsa	- -ur-ēs-a
urēda	- -ur-ēd-a
uromur	- -ur-om-ur
uromis	- -ur-om-is
urorim	- -ur-or-im
uroris	- -ur-or-is
urosim	- -ur-os-im
urosur	- -ur-os-ur
urosis	- -ur-os-is
urēnim	- -ur-ēn-im
urēnur	- -ur-ēn-ur
urēnis	- -ur-ēn-is
urēsim	- -ur-ēs-im
urēsur	- -ur-ēs-ur
urēsis	- -ur-ēs-is
urēdim	- -ur-ēd-im
urēdur	- -ur-ēd-ur
urēdis	- -ur-ēd-is
uromman	- -ur-om-man
uromran	- -ur-om-ran
uromsan	- -ur-om-san
urorman	- -ur-or-man
urorran	- -ur-or-ran
urorsan	- -ur-or-san
urosman	- -ur-os-man
urosran	- -ur-os-ran
urossan	- -ur-os-san
urēnman	- -ur-ēn-man
urēnran	- -ur-ēn-ran
urēnsan	- -ur-ēn-san
urēsman	- -ur-ēs-man
urēsran	- -ur-ēs-ran
urēssan	- -ur-ēs-san
uredman	- -ur-ed-man
uredran	- -ur-ed-ran
uredsan	- -ur-ed-san
uromri	- -ur-om-r-i
uromsi	- -ur-om-s-i
urormi	- -ur-or-m-i
urorsi	- -ur-or-s-i
urosmi	- -ur-os-m-i
urosri	- -ur-os-r-i
urossi	- -ur-os-s-i
urēnmi	- -ur-ēn-m-i
urēnri	- -ur-ēn-r-i
urēnsi	- -ur-ēn-s-i
urēsmi	- -ur-ēs-m-i
urēsri	- -ur-ēs-r-i
urēssi	- -ur-ēs-s-i
uredmi	- -ur-ed-m-i
uredri	- -ur-ed-r-i
uredsi	- -ur-ed-s-i
urommani	- -ur-om-man-i
uromrani	- -ur-om-ran-i
uromsani	- -ur-om-san-i
urormani	- -ur-or-man-i
urorrani	- -ur-or-ran-i
urorsani	- -ur-or-san-i
urosmani	- -ur-os-man-i
urosrani	- -ur-os-ran-i
urossani	- -ur-os-san-i
urēnmani	- -ur-ēn-man-i
urēnrani	- -ur-ēn-ran-i
urēnsani	- -ur-ēn-san-i
urēsmani	- -ur-ēs-man-i
urēsrani	- -ur-ēs-ran-i
urēssani	- -ur-ēs-san-i
uredmani	- -ur-ed-man-i
uredrani	- -ur-ed-ran-i
uredsani	- -ur-ed-san-i
uromra	- -ur-om-r-a
uromsa	- -ur-om-s-a
urorma	- -ur-or-m-a
urorsa	- -ur-or-s-a
urosma	- -ur-os-m-a
urosra	- -ur-os-r-a
urossa	- -ur-os-s-a
urēnma	- -ur-ēn-m-a
urēnra	- -ur-ēn-r-a
urēnsa	- -ur-ēn-s-a
urēsma	- -ur-ēs-m-a
urēsra	- -ur-ēs-r-a
urēssa	- -ur-ēs-s-a
uredma	- -ur-ed-m-a
uredra	- -ur-ed-r-a
uredsa	- -ur-ed-s-a
urommana	- -ur-om-man-a
uromrana	- -ur-om-ran-a
uromsana	- -ur-om-san-a
urormana	- -ur-or-man-a
urorrana	- -ur-or-ran-a
urorsana	- -ur-or-san-a
urosmana	- -ur-os-man-a
urosrana	- -ur-os-ran-a
urossana	- -ur-os-san-a
urēnmana	- -ur-ēn-man-a
urēnrana	- -ur-ēn-ran-a
urēnsana	- -ur-ēn-san-a
urēsmana	- -ur-ēs-man-a
urēsrana	- -ur-ēs-ran-a
urēssana	- -ur-ēs-san-a
uredmana	- -ur-ed-man-a
uredrana	- -ur-ed-ran-a
uredsana	- -ur-ed-san-a
tomur	t-om-ur
tosur	t-os-ur
tēnur	t-ēn-ur
tēsur	t-ēs-ur
tedur	t-ed-ur
ēromur	ē-r-om-ur
ērosur	ē-r-os-ur
ērēnur	ē-r-ēn-ur
ērēsur	ē-r-ēs-ur
ēredur	ē-r-ed-ur
garomur	ga-r-om-ur
garosur	ga-r-os-ur
garganur	ga-r-gan-ur
gargasur	ga-r-gas-ur
garedur	ga-r-ed-ur
ṣurt	ṣurt
ṣurnā	ṣurnā
ṣurtū	ṣurtū
ōmur	- -ōm-ur
ōrur	- -ōr-ur
ōnur	- -ōn-ur
ōsur	- -ōs-ur
